b_number,gene_name,solubility_pct,label,sequence_length,molecular_weight,isoelectric_point,gravy,aromaticity,instability_index,net_charge_at_ph7,fraction_charged,fraction_positive,fraction_negative,helix_fraction,turn_fraction,sheet_fraction,aa_pct_A,aa_pct_C,aa_pct_D,aa_pct_E,aa_pct_F,aa_pct_G,aa_pct_H,aa_pct_I,aa_pct_K,aa_pct_L,aa_pct_M,aa_pct_N,aa_pct_P,aa_pct_Q,aa_pct_R,aa_pct_S,aa_pct_T,aa_pct_V,aa_pct_W,aa_pct_Y
b0003,thrB,32,Insoluble,310,33623.290499999996,5.45281467437744,0.024193548387096756,0.07096774193548387,39.816451612903236,-7,0.1967741935483871,0.08709677419354839,0.10967741935483871,0.35161290322580646,0.27419354838709675,0.3258064516129032,11.935483870967742,2.903225806451613,4.193548387096774,6.774193548387097,3.225806451612903,8.709677419354838,1.935483870967742,5.161290322580645,3.225806451612903,10.0,3.225806451612903,3.870967741935484,5.161290322580645,4.516129032258065,5.483870967741935,5.483870967741935,2.903225806451613,7.419354838709677,1.2903225806451613,2.5806451612903225
b0004,thrC,18,Insoluble,428,47113.2536,5.2375085830688475,-0.09672897196261686,0.08411214953271028,35.91357476635513,-14,0.21495327102803738,0.0911214953271028,0.12383177570093458,0.37383177570093457,0.26401869158878505,0.366822429906542,10.981308411214954,0.9345794392523364,5.607476635514018,6.775700934579439,5.607476635514018,6.542056074766355,2.336448598130841,3.97196261682243,5.140186915887851,12.616822429906541,1.8691588785046729,4.4392523364485985,5.373831775700935,4.906542056074766,3.97196261682243,4.4392523364485985,5.373831775700935,6.308411214953271,0.7009345794392523,2.102803738317757
b0005,yaaX,78,Soluble,98,11354.7994,10.158428382873534,-0.9969387755102042,0.09183673469387754,47.233673469387746,7,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.2653061224489796,0.30612244897959184,0.25510204081632654,7.142857142857143,0.0,5.1020408163265305,2.0408163265306123,0.0,11.224489795918368,13.26530612244898,3.061224489795918,7.142857142857143,7.142857142857143,3.061224489795918,2.0408163265306123,9.183673469387756,4.081632653061225,7.142857142857143,3.061224489795918,1.0204081632653061,5.1020408163265305,6.122448979591836,3.061224489795918
b0006,yaaA,7,Insoluble,258,29585.453800000003,6.8584997177124025,-0.40271317829457365,0.10852713178294575,32.053914728682166,0,0.2558139534883721,0.12790697674418605,0.12790697674418605,0.3488372093023256,0.2751937984496124,0.37209302325581395,7.364341085271318,0.0,6.589147286821706,6.2015503875969,6.2015503875969,5.426356589147287,1.1627906976744187,6.589147286821706,6.976744186046512,12.015503875968992,2.3255813953488373,5.038759689922481,4.651162790697675,5.426356589147287,5.813953488372093,5.813953488372093,5.038759689922481,2.7131782945736433,0.7751937984496124,3.875968992248062
b0008,talB,85,Soluble,317,35218.8107,5.105698966979979,-0.20977917981072555,0.07255520504731862,31.709463722397473,-8,0.26498422712933756,0.11987381703470032,0.14511041009463724,0.3911671924290221,0.23659305993690852,0.3627760252365931,12.302839116719243,0.9463722397476341,6.624605678233438,7.886435331230284,2.2082018927444795,5.3627760252365935,0.6309148264984227,8.201892744479496,6.94006309148265,10.410094637223974,1.5772870662460567,3.470031545741325,3.1545741324921135,4.73186119873817,5.047318611987381,5.047318611987381,5.3627760252365935,5.047318611987381,1.2618296529968454,3.7854889589905363
b0009,mog,89,Soluble,195,21222.105,4.970820045471191,-0.013333333333333345,0.046153846153846156,39.90820512820511,-8,0.22564102564102564,0.09230769230769231,0.13333333333333333,0.32307692307692304,0.26153846153846155,0.37948717948717947,8.205128205128204,1.5384615384615385,4.615384615384615,8.717948717948717,2.5641025641025643,7.17948717948718,1.5384615384615385,6.666666666666667,3.076923076923077,10.256410256410257,2.051282051282051,1.5384615384615385,6.666666666666667,4.615384615384615,6.153846153846154,6.153846153846154,7.17948717948718,9.23076923076923,0.5128205128205128,1.5384615384615385
b0012,htgA,46,Insoluble,161,17637.1282,9.150207328796387,0.07080745341614904,0.08074534161490683,71.45031055900621,11,0.14285714285714285,0.10559006211180125,0.037267080745341616,0.21739130434782608,0.391304347826087,0.2981366459627329,5.590062111801243,9.937888198757763,1.8633540372670807,1.8633540372670807,6.211180124223603,1.2422360248447204,0.0,4.968944099378882,2.484472049689441,10.559006211180124,1.2422360248447204,7.453416149068323,4.968944099378882,1.8633540372670807,8.074534161490684,23.60248447204969,3.1055900621118013,3.1055900621118013,1.2422360248447204,0.6211180124223602
b0013,yaaI,59,Soluble,134,14481.418,7.685848045349122,-0.08582089552238807,0.03731343283582089,39.743283582089546,1,0.20149253731343283,0.1044776119402985,0.09701492537313433,0.31343283582089554,0.3283582089552239,0.3283582089552239,9.701492537313433,2.985074626865672,7.462686567164179,2.2388059701492535,2.2388059701492535,4.477611940298507,2.2388059701492535,8.955223880597014,6.7164179104477615,9.701492537313433,2.985074626865672,6.7164179104477615,2.2388059701492535,3.7313432835820897,3.7313432835820897,11.940298507462687,5.970149253731344,4.477611940298507,0.746268656716418,0.746268656716418
b0014,dnaK,116,Soluble,638,69114.1284,4.831337165832519,-0.4086206896551724,0.03605015673981191,34.15376175548591,-30,0.28213166144200624,0.11755485893416928,0.164576802507837,0.3652037617554859,0.27586206896551724,0.322884012539185,10.9717868338558,0.15673981191222572,8.620689655172415,7.836990595611285,2.3510971786833856,7.366771159874608,1.2539184952978057,6.896551724137931,7.836990595611285,7.523510971786834,2.3510971786833856,4.075235109717869,3.605015673981191,5.799373040752351,3.9184952978056424,3.9184952978056424,6.896551724137931,7.366771159874608,0.15673981191222572,1.09717868338558
b0015,dnaJ,52,Soluble,376,41099.875799999994,7.976882743835449,-0.6343085106382979,0.07180851063829786,32.8031914893617,2,0.2765957446808511,0.14095744680851063,0.1356382978723404,0.30319148936170215,0.2898936170212766,0.28191489361702127,7.180851063829787,2.6595744680851063,5.319148936170213,8.24468085106383,4.5212765957446805,14.095744680851064,2.6595744680851063,3.4574468085106385,6.914893617021277,6.117021276595745,1.8617021276595744,2.127659574468085,4.25531914893617,6.117021276595745,7.180851063829787,3.1914893617021276,4.787234042553192,6.648936170212766,0.0,2.6595744680851063
